"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TBL1X",0.80083265159086,0.476722499654386,0.273,0.244,1,"5","TBL1X"
"PARP14",0.801080546424195,0.549850060020455,0.455,0.442,1,"5","PARP14"
"PLEKHA6",0.801298932319487,-0.509056156411442,0.364,0.345,1,"5","PLEKHA6"
"MAP3K4",0.802181770060136,-0.365610189456773,0.091,0.117,1,"5","MAP3K4"
"FAM110B",0.802181770060136,-0.264797086226625,0.091,0.117,1,"5","FAM110B"
"SAMD8",0.802181770060136,-0.292688256295447,0.091,0.117,1,"5","SAMD8"
"HERC1",0.802918956396568,-0.43758385836824,0.273,0.294,1,"5","HERC1"
"SLC6A6",0.804937706693237,-0.317619185903983,0.273,0.33,1,"5","SLC6A6"
"PDCD10",0.805821074942024,-0.329737223794772,0.091,0.112,1,"5","PDCD10"
"PROM1",0.806554249513329,0.571795833788632,0.182,0.168,1,"5","PROM1"
"PEAK1",0.806554249513329,0.388869308461451,0.182,0.168,1,"5","PEAK1"
"CUL5",0.806972834094592,-0.419242806900496,0.273,0.315,1,"5","CUL5"
"RNF144B",0.808855738184971,0.334535297548708,0.091,0.127,1,"5","RNF144B"
"TANC2",0.808855738184971,0.377253170692106,0.091,0.127,1,"5","TANC2"
"LAMA1",0.808855738184971,0.296307473698124,0.091,0.127,1,"5","LAMA1"
"SDC2",0.809364613514196,-0.404209350823698,0.091,0.117,1,"5","SDC2"
"SLC25A21",0.809495288776703,-0.360734937985791,0.091,0.107,1,"5","SLC25A21"
"PLCB4",0.812659703026037,-0.270274139879665,0.545,0.599,1,"5","PLCB4"
"ORC5",0.813148673106623,-0.388604319100992,0.091,0.112,1,"5","ORC5"
"CARD8",0.813148673106623,-0.468883395918474,0.091,0.112,1,"5","CARD8"
"RBFOX2",0.814818753569947,-0.339786343423833,0.273,0.305,1,"5","RBFOX2"
"RIPK1",0.815805576893637,0.298340013544446,0.091,0.127,1,"5","RIPK1"
"ARAP2",0.816385503569653,0.253301747993084,0.273,0.264,1,"5","ARAP2"
"AL139260.1",0.81697757196155,-0.402354456679192,0.091,0.107,1,"5","AL139260.1"
"PPP2R3C",0.81697757196155,-0.364297906603547,0.091,0.107,1,"5","PPP2R3C"
"DOCK9",0.819105854170758,-0.259744527583357,0.182,0.218,1,"5","DOCK9"
"MED15",0.81973641480841,0.496888776584925,0.273,0.305,1,"5","MED15"
"SP140L",0.820492664850616,-0.325603102298473,0.091,0.112,1,"5","SP140L"
"TNFSF10",0.821331964602018,-0.350916196028138,0.364,0.371,1,"5","TNFSF10"
"CPQ",0.824062621200286,-0.492269493542549,0.182,0.198,1,"5","CPQ"
"GOLGA1",0.824476572169984,-0.310611622546134,0.091,0.107,1,"5","GOLGA1"
"SEC11A",0.824476572169984,-0.350037637051105,0.091,0.107,1,"5","SEC11A"
"PLS1",0.82685657795549,0.333408593295153,0.091,0.122,1,"5","PLS1"
"NUP54",0.827852428934893,-0.296173695513911,0.091,0.112,1,"5","NUP54"
"TPR",0.82884780407927,0.444677421993103,0.273,0.274,1,"5","TPR"
"BCAS3",0.829652540663258,-0.396038613435048,0.455,0.442,1,"5","BCAS3"
"HLCS",0.829835913954819,-0.44242619254589,0.182,0.198,1,"5","HLCS"
"TENM2",0.831991627905761,-0.491490135202197,0.091,0.107,1,"5","TENM2"
"GPR135",0.831991627905761,-0.286666854732133,0.091,0.107,1,"5","GPR135"
"PEPD",0.831991627905761,-0.337477310547069,0.091,0.107,1,"5","PEPD"
"TLE4",0.832939541228047,-0.329010065918849,0.182,0.208,1,"5","TLE4"
"DDX52",0.834846732493215,0.37779049150313,0.182,0.178,1,"5","DDX52"
"TRIM26",0.835227339963474,-0.340053166461568,0.091,0.112,1,"5","TRIM26"
"COG4",0.835447351616238,-0.259654451515353,0.182,0.147,1,"5","COG4"
"NAALADL2",0.837143960447938,0.587144892302884,0.364,0.431,1,"5","NAALADL2"
"ZHX2",0.83757736491032,0.651863915225099,0.364,0.391,1,"5","ZHX2"
"NKTR",0.838663797304738,-0.264629504091486,0.364,0.401,1,"5","NKTR"
"TATDN1",0.839522073267349,-0.287717903627136,0.091,0.107,1,"5","TATDN1"
"PDE7B",0.840036197592262,-0.359803739569823,0.273,0.279,1,"5","PDE7B"
"PARD6B",0.840880200277413,0.439886344983756,0.182,0.178,1,"5","PARD6B"
"DVL3",0.841084106109906,0.648166747611187,0.091,0.122,1,"5","DVL3"
"CTIF",0.841084106109906,0.414000519666738,0.091,0.122,1,"5","CTIF"
